"id";"code";"description";"entry_price";"sell_price";"brand_id";"size"
99;"2006";"PIJAMA ABERTO POLIVISCOSE";49.91;90.0;2;"GG"
98;"2006";"PIJAMA ABERTO POLIVISCOSE";49.91;90.0;2;"G"
97;"2005";"PIJAMA MANGA CURTA / CALÇA";45.99;85.0;2;"GG"
96;"2004";"PIJAMA DELOCOTTON";65.99;120.0;2;"M"
93;"2004";"PIJAMA DELOCOTTON";65.99;120.0;2;"P"
94;"2004";"PIJAMA DELOCOTTON";65.99;120.0;2;"G"
95;"2004";"PIJAMA DELOCOTTON";65.99;120.0;2;"GG"
100;"2103";"PIJAMA PELUCIADO ABERTO";76.72;140.0;2;"G"
101;"3012";"PIJAMA CURTO COM BOLSO SERIGRAFADO POLIVISCOSE";35.74;65.0;2;"G"
102;"3012";"PIJAMA CURTO COM BOLSO SERIGRAFADO POLIVISCOSE";35.74;65.0;2;"P"
103;"3012";"PIJAMA CURTO COM BOLSO SERIGRAFADO POLIVISCOSE";35.74;65.0;2;"M"
104;"30121";"PIJAMA CURTO COM BOLSO SERIGRAFADO POLIVISCOSE";40.0;75.0;2;"EX"
105;"3012";"PIJAMA CURTO COM BOLSO SERIGRAFADO POLIVISCOSE";35.74;65.0;2;"GG"
106;"4001";"PIJAMA MASCULINO POLIVISCOSE";35.07;65.0;2;"G"
107;"61013";"PIJAMA APELUCIADO MENINA";53.07;95.0;2;"10"
108;"61062";"PIJAMA APELUCIADO MENINO";39.73;74.0;2;"6"
109;"70042";"PIJAMA MENINA POLIVISCOSE";35.0;60.0;2;"12"
110;"3004";"PIJAMA POLIVISCOSE REGATA";35.0;70.0;2;"G"
111;"30041";"PIJAMA POLIVISCOSE REGATA";35.0;70.0;2;"EX"
112;"2001";"PIJAMA POLIVISCOSE COMPRIDO";55.0;105.0;2;"P"
113;"2001";"PIJAMA POLIVISCOSE COMPRIDO";55.0;105.0;2;"M"
114;"20002";"PIJAMA POLIVISCOSE COMPRIDO";55.0;105.0;2;"P"
115;"2002";"PIJAMA POLIVISCOSE COMPRIDO";55.0;105.0;2;"M"
116;"2002";"PIJAMA POLIVISCOSE COMPRIDO";55.0;105.0;2;"P"
117;"3002";"PIJAMA CURTO DELOCOTTON";35.0;60.0;2;"M"
118;"3002";"PIJAMA CURTO DELOCOTTON";35.0;60.0;2;"G"
119;"3020";"PIJAMA VISCOLICRA/COTTON";33.0;65.0;2;"M"
120;"3004";"PIJAMA POLIVISCOSE REGATA";35.0;70.0;2;"P"
121;"3013";"PIJAMA VISCOLICRA CALÇÃO COMPRIDO";35.0;70.0;2;"M"
122;"3004";"PIJAMA POLIVISCOSE REGATA";35.0;70.0;2;"M"
123;"3017";"PIJAMA REGATA LIGANETE";32.0;60.0;2;"M"
124;"3017";"PIJAMA REGATA LIGANETE";32.0;60.0;2;"GG"
125;"1006";"CAMISOLA";28.0;45.0;2;"M"
126;"512";"PIJAMA MALHA";56.0;105.0;3;"G"
127;"512";"PIJAMA MALHA";56.0;105.0;2;"GG"
128;"PIJAMA";"PIJAMA ALCINHA LIGANETE";14.99;30.0;4;"M"
129;"PIJAMA";"PIJAMA ALCINHA LIGANETE";14.99;30.0;4;"G"
130;"01";"calça";15.0;30.0;2;"M"
131;"3004";"PIJAMA POLIVISCOSE REGATA";35.0;70.0;2;"EX"
